ssn,firstName,lastName,email,phone,address,city,state,zip,licenseNumber,vehicleMake,vehicleModel,vehicleYear,createdAt,updatedAt
000-00-0001,John,Doe,john_2@example.com,555-1001,124 Main St,Anytown,CA,90001,DL10001,Toyota,Camry,2016,2025-05-04 17:32:19,2025-05-04 17:32:19
000-00-0002,John,Doe,john_3@example.com,555-1002,125 Main St,Anytown,CA,90002,DL10002,Toyota,Camry,2017,2025-05-04 17:32:19,2025-05-04 17:32:19
000-00-0003,John,Doe,john_4@example.com,555-1003,126 Main St,Anytown,CA,90003,DL10003,Toyota,Camry,2018,2025-05-04 17:32:19,2025-05-04 17:32:19
000-00-0004,John,Doe,john_5@example.com,555-1004,127 Main St,Anytown,CA,90004,DL10004,Toyota,Camry,2019,2025-05-04 17:32:19,2025-05-04 17:32:19
000-00-0005,John,Doe,john_6@example.com,555-1005,128 Main St,Anytown,CA,90005,DL10005,Toyota,Camry,2020,2025-05-04 17:32:19,2025-05-04 17:32:19
000-00-0006,John,Doe,john_7@example.com,555-1006,129 Main St,Anytown,CA,90006,DL10006,Toyota,Camry,2021,2025-05-04 17:32:19,2025-05-04 17:32:19
000-00-0007,John,Doe,john_8@example.com,555-1007,130 Main St,Anytown,CA,90007,DL10007,Toyota,Camry,2022,2025-05-04 17:32:19,2025-05-04 17:32:19
000-00-0008,John,Doe,john_9@example.com,555-1008,131 Main St,Anytown,CA,90008,DL10008,Toyota,Camry,2023,2025-05-04 17:32:19,2025-05-04 17:32:19
000-00-0009,John,Doe,john_10@example.com,555-1009,132 Main St,Anytown,CA,90009,DL10009,Toyota,Camry,2024,2025-05-04 17:32:19,2025-05-04 17:32:19
000-00-0010,John,Doe,john_11@example.com,555-1010,133 Main St,Anytown,CA,90010,DL10010,Toyota,Camry,2015,2025-05-04 17:32:19,2025-05-04 17:32:19
000-00-0011,John,Doe,john_12@example.com,555-1011,134 Main St,Anytown,CA,90011,DL10011,Toyota,Camry,2016,2025-05-04 17:32:19,2025-05-04 17:32:19
000-00-0012,John,Doe,john_13@example.com,555-1012,135 Main St,Anytown,CA,90012,DL10012,Toyota,Camry,2017,2025-05-04 17:32:19,2025-05-04 17:32:19
000-00-0013,John,Doe,john_14@example.com,555-1013,136 Main St,Anytown,CA,90013,DL10013,Toyota,Camry,2018,2025-05-04 17:32:19,2025-05-04 17:32:19
000-00-0014,John,Doe,john_15@example.com,555-1014,137 Main St,Anytown,CA,90014,DL10014,Toyota,Camry,2019,2025-05-04 17:32:19,2025-05-04 17:32:19
000-00-0015,John,Doe,john_16@example.com,555-1015,138 Main St,Anytown,CA,90015,DL10015,Toyota,Camry,2020,2025-05-04 17:32:19,2025-05-04 17:32:19
000-00-0016,John,Doe,john_17@example.com,555-1016,139 Main St,Anytown,CA,90016,DL10016,Toyota,Camry,2021,2025-05-04 17:32:19,2025-05-04 17:32:19
000-00-0017,John,Doe,john_18@example.com,555-1017,140 Main St,Anytown,CA,90017,DL10017,Toyota,Camry,2022,2025-05-04 17:32:19,2025-05-04 17:32:19
000-00-0018,John,Doe,john_19@example.com,555-1018,141 Main St,Anytown,CA,90018,DL10018,Toyota,Camry,2023,2025-05-04 17:32:19,2025-05-04 17:32:19
000-00-0019,John,Doe,john_20@example.com,555-1019,142 Main St,Anytown,CA,90019,DL10019,Toyota,Camry,2024,2025-05-04 17:32:19,2025-05-04 17:32:19
000-00-0020,John,Doe,john_21@example.com,555-1020,143 Main St,Anytown,CA,90020,DL10020,Toyota,Camry,2015,2025-05-04 17:32:19,2025-05-04 17:32:19
000-00-0021,John,Doe,john_22@example.com,555-1021,144 Main St,Anytown,CA,90021,DL10021,Toyota,Camry,2016,2025-05-04 17:32:19,2025-05-04 17:32:19
000-00-0022,John,Doe,john_23@example.com,555-1022,145 Main St,Anytown,CA,90022,DL10022,Toyota,Camry,2017,2025-05-04 17:32:19,2025-05-04 17:32:19
000-00-0023,John,Doe,john_24@example.com,555-1023,146 Main St,Anytown,CA,90023,DL10023,Toyota,Camry,2018,2025-05-04 17:32:19,2025-05-04 17:32:19
000-00-0024,John,Doe,john_25@example.com,555-1024,147 Main St,Anytown,CA,90024,DL10024,Toyota,Camry,2019,2025-05-04 17:32:19,2025-05-04 17:32:19
000-00-0025,John,Doe,john_26@example.com,555-1025,148 Main St,Anytown,CA,90025,DL10025,Toyota,Camry,2020,2025-05-04 17:32:19,2025-05-04 17:32:19
000-00-0026,John,Doe,john_27@example.com,555-1026,149 Main St,Anytown,CA,90026,DL10026,Toyota,Camry,2021,2025-05-04 17:32:19,2025-05-04 17:32:19
000-00-0027,John,Doe,john_28@example.com,555-1027,150 Main St,Anytown,CA,90027,DL10027,Toyota,Camry,2022,2025-05-04 17:32:19,2025-05-04 17:32:19
000-00-0028,John,Doe,john_29@example.com,555-1028,151 Main St,Anytown,CA,90028,DL10028,Toyota,Camry,2023,2025-05-04 17:32:19,2025-05-04 17:32:19
000-00-0029,John,Doe,john_30@example.com,555-1029,152 Main St,Anytown,CA,90029,DL10029,Toyota,Camry,2024,2025-05-04 17:32:19,2025-05-04 17:32:19
